1	 0xa927e1e1e044ca1d9fe1854585003477331fe2af	5,872,783.994694337157985967	20.7697%
$2,147,688.85	
$1,130.93	
123	 0x4f3d0bdca59c31126e4d69a4ed4fe67cbee97e6a	3,000.200009938642431608	0.0106%
$1,097.18	
124	0xa47f5dfb53f617cbce164f29b26273e9332631c4	2,878.741537116874567874	0.0102%
$1,052.76	
125	0x179755e1b74fd8738e77388337a738d774e3b451	2,842.585064046714499588	0.0101%
$1,039.54	
126	0xd7b2879c8922cd704e41e8cc1f18f6994d6b7c36	2,759.9514	0.0098%
$1,009.32	
127	 0xa2844004ce6336007f09d6bf959b5602abbf19fb	2,722.126972892367216846	0.0096%
$995.49	
128	0xffe9b7d2ec63cefbec975de2681a8b2e8513e309	2,720.06361480000002207	0.0096%
$994.73	
129	 0x4cdf77828b839506bf6b6e219017b65623042400	2,675.253239867956812727	0.0095%
$978.35	
130	 0xcaf6d9a502aee41a0ef1a079d0cef8e877588116	2,669.965213038904218183	0.0094%
$976.41	
131	0x61300de79422a18b69fd3afe4238ec5aa1df0635	2,653.864131532035555383	0.0094%
$970.52	
132	0x444be5527a2e3b561e6216df36e4843340f6d93f	2,616.288189118523597438	0.0093%
$956.78	
133	 0xb521c0acf67390c1364f1e940e44db25828e5ef9	2,614.801421353471461018	0.0092%
$956.24	
134	0x1026df41a10bb5057d4f08261d907893f2d5f78b	2,571.5691387654294837	0.0091%
$940.43	
135	0x7ebeafc015e0bf1dcda0f2693981344ea78589e6	2,517.5	0.0089%
$920.65	
136	0x0000000a126ef7c68b128aa2012ace28e35316ef	2,516.494159043026186925	0.0089%
$920.29	
137	0x7a45db6810d8450353772a6076c62e26428b3354	2,500	0.0088%
$914.26	
138	 0xfbec300adf82e849312c2a6beea5f6b55c638676	2,446.458977360203650983	0.0087%
$894.67	
139	0x088958e1384723b60a2134615d4ba213e1b8d7dc	2,419.207132688222189108	0.0086%
$884.71	
140	0xa231755028ca4ee39062b10df6c7302a6b3b3b87	2,395.9	0.0085%
$876.19	
141	0x20fb55b7ce170b9922287840ec383bc6005429c3	2,395.031531801016764104	0.0085%
$875.87	
142	0xb2e4a61d99ca58fb8aac58bb2f8a59d63f552fc0	2,368.238953881558674834	0.0084%
$866.07	
143	0xb5ddebe5adc68c9fa23e35ba110e585488888888	2,350.5	0.0083%
$859.58	
144	 0x3e7f60b442ceae0fe5e48e07eb85cfb1ed60e81a	2,336.403711013427703405	0.0083%
$854.43	
145	0x1e8efa373a2535aa6e9cf279c93d41f24ae40d73	2,321.58152206984899127	0.0082%
$849.01	
146	 0x6555aa40e266ac3044330277aab318cb5bb99803	2,273.269448143011763416	0.0080%
$831.34	
147	0x5c9cd3ca797fc1cc48766235986ab7074b202962	2,056	0.0073%
$751.88	
148	0xa44a8277a31aff5c12506beef91d1f0941683e9d	1,950	0.0069%
$713.12	
149	0x973b79656f9a2b6d3f9b04e93f3c340c9f7b4c6c	1,947.126253624150285886	0.0069%
$712.07	
150	 0xa806c4fa788e708aa99493c86ad12a80c71ff40a	1,924.589890595676322151	0.0068%
$703.83
151	 0xc40a225e0bca2f791de8c0a62ee63899e5234254	1,905.698274732216378219	0.0067%
$696.92	
152	0x71e9c9b9cf13df18b383d5195393727fbaaad5bd	1,900	0.0067%
$694.83	
153	0x3be678f20a31e1810240f80a5d007374661c45a4	1,896.06342874577059601	0.0067%
$693.39	
154	0x26171abd8007c27be960f4a1a640f60f977721a2	1,869.75057481	0.0066%
$683.77	
155	0xaa1818b751856dd7a6363230f93f78620e63bc27	1,843	0.0065%
$673.99	
156	0x76cea8d9d3817fe361e1c1d32081f7c1ddb6aaae	1,792.388545108631293949	0.0063%
$655.48	
157	0x3fa43ae8aae00c4ef6733a67c42995f5a2c0cef2	1,789.634230799666315757	0.0063%
$654.47	
158	0x161ea288055b58fb182f72b124a5d0f367b099e4	1,754.295252111697248493	0.0062%
$641.55	
159	0x7ecb07adc76b2979fbe45af13e2b706ba3562d1d	1,749.634276247594261775	0.0062%
$639.84	
160	0xc29df0285fba5d603052b7444802105bc681b8d3	1,694.676015	0.0060%
$619.75	
161	0xee0c6d14ceca17e6cf7d74836e775b1c7008b371	1,682.747964788585779166	0.0060%
$615.38	
162	0x4decf497658bd9ab4ad382d1384f2046ca56414b	1,674.266969852109066275	0.0059%
$612.28	
163	0xa093cf73a13b4e55876f51470c081b2f068a193b	1,646.58278638752	0.0058%
$602.16	
164	 0x7757714c5515d7993c12ea53778bfd9c52101423	1,643.39066334402107672	0.0058%
$600.99	
165	0xf6a43c574abd39640c61eb32ba4ae14c856bbba4	1,639.526210235667784998	0.0058%
$599.58	
166	0xc288ab9dfa56bd1fe5e182125c134ce8d0530db5	1,637.008134393355959523	0.0058%
$598.66	
167	 0x3cc8c80f3ee4f4be8a82850a7d1522c094423b76	1,620.169840416748744791	0.0057%
$592.50	
168	0x367709d9a9432f22c5de2c3bfdef58cf8e10845f	1,614	0.0057%
$590.24	
169	0x95d6c3832818d81f0feb61d47fff24698c81a369	1,591.27776	0.0056%
$581.93	
170	0xe7afe9c0746414f7654cd0fee0ccaa1c45b572e4	1,587.222471115013474168	0.0056%
$580.45	
171	0x0c20212260e2fd04995772f0c53b06fbb4d28b1c	1,570	0.0056%
$574.15	
172	0xd998d80ffa583657f7b66ad6e4d8a990fe1cd639	1,515.5	0.0054%
$554.22	
173	 0x431c7b411d07de24794b3be3683c82689eb844f6	1,515.187377063294390928	0.0054%
$554.11	
174	0x5180db0237291a6449dda9ed33ad90a38787621c	1,500.000000000118893291	0.0053%
$548.55	
175	0x3e295aafdc2270d2a7696fc0a6ede921e168e1fe	1,473.094757212625038302	0.0052%
$538.71	
176	0x96a9cd173628d7e97e6a6e28503a85874608207a	1,447.225137685170712626	0.0051%
$529.25	
177	 Nomad: Bridge	1,437.276725200836100384	0.0051%
$525.61	
178	0x55a57364edc83420c0ff55e24ca95576f2563bcb	1,426.76972	0.0050%
$521.77	
179	0x4f782ebf78d756aa1967e025fb4921033070d61a	1,405	0.0050%
$513.81	
180	0x1e706c1df6b5cd7bd6707ffdc2769848d6086e7a	1,400	0.0050%
$511.98	
181	0x115c36869ecf146b57fae5917097b569f26d4087	1,339	0.0047%
$489.67	
182	0x362e675c26ee267ba31b7e1b0c094b228daf43d4	1,297.90350152800098996	0.0046%
$474.65	
183	0x466045979096f7a94a186702ab9cbea58fb5cf5f	1,282.5	0.0045%
$469.01	
184	0x8401b6068e61fc252e1a9959ab764ef5da0ca541	1,282.444343113534341806	0.0045%
$468.99	
185	0x40438b2a363b71915421b53879784ff4e78d7348	1,265	0.0045%
$462.61	
186	0x6d1105ba1b4effb4073e99df2c8ff17ebffff0a8	1,235	0.0044%
$451.64	
187	0x33ed55a66fe19de5987a8f166fb1eb070170adac	1,231.005555650412294812	0.0044%
$450.18	
188	0xd1c9193981619fc65b325adc52a8c1762429d1c9	1,230.393985580078145655	0.0044%
$449.96	
189	 0x48f2d5f75ce88a1acd262658d06ba8500d171e2c	1,212.948193112812005006	0.0043%
$443.58	
190	 0x9d0122589d60181af7981636bbcb221d904d7559	1,201.311838697048918146	0.0042%
$439.32	
191	 0xf8c11cc4ffe408816ec36007cced22e7a305aee0	1,201.179255152664231147	0.0042%
$439.27	
192	0x31cb881144ce25cf6c51a9c342443606944df5fd	1,200	0.0042%
$438.84	
193	0x56656e5c76b5b552f5e89a82fc46912d95790480	1,197.923544095320313241	0.0042%
$438.08	
194	0x0ea66fb51a02393e66e1fcd4489146803e2fbdc4	1,197.12	0.0042%
$437.79	
195	0x3901c6d5df9508d7ef6cc5dc4026d0626868449e	1,190.846501468569177958	0.0042%
$435.49	
196	0x628ec53729d1b30ceb85c6d20d7c6032601d0d4e	1,179.665000646864863255	0.0042%
$431.41	
197	0x4725192f5509bd5d0e56083b7ae17e5620f991cb	1,177.797011228152641981	0.0042%
$430.72	
198	0xe642031739bba6651fc072f5e58573268da4fc21	1,170.31	0.0041%
$427.98	
199	0x336309e0c0269d9c36fc2bf02032e98ebd8467ec	1,165.592244513666143043	0.0041%
$426.26	
200	0x5b3b02d845aeda5a4fc4eda602a7df4c5f50698d	1,164.120887589555646255	0.0041%
$425.72
201	0x249859c936b5c79d73ff30a1b74108574f6761cf	1,160	0.0041%
$424.21	
202	0xffbd7fab5872b40f3dcdad233fcf6d118cc4ee04	1,157	0.0041%
$423.12	
203	0x1c0529ed0183388cc7284c89431b0978d877b4fc	1,155.360149802942120515	0.0041%
$422.52	
204	0x8786cb3682cb347ae1226b5a15e991339a877dfb	1,149.5	0.0041%
$420.37	
205	0x12a092afc13e7b31585b60bc070c103def7ed23e	1,120.512806765961834953	0.0040%
$409.77	
206	0x124b2975e30c5c6cff5a36630f19336591fc1c42	1,117.771181205882657871	0.0040%
$408.77	
207	0xdb7f835d5fda1ad7da252f108601bf261562632b	1,116	0.0039%
$408.12	
208	0xc8c73086cbd5467757c9d17d81fc6f42ab61f78e	1,108	0.0039%
$405.20	
209	 0xfc422eb0a2c7a99bad330377497fd9798c9b1001	1,105.49690518618124472	0.0039%
$404.28	
210	0x369bb02409a711e1971f09fef41a093ba8536ecb	1,100	0.0039%
$402.27	
211	0xa60119f25faafaa9b93aaf81070face1ea5d296d	1,084	0.0038%
$396.42	
212	0x1be8218be61797e26066bd91968ffd8b745bf851	1,065	0.0038%
$389.47	
213	0xb44be5a6ae553a3339a21c508373b54bf6850a0c	1,062.718479966603515305	0.0038%
$388.64	
214	0xef669953702fc719becc69c2dd636eaa187666d2	1,037.509078432499098045	0.0037%
$379.42	
215	0xc1165124be8dc53a3826a1aa1b6643e9138d167c	1,015.22231874020948139	0.0036%
$371.27	
216	0x4e688ab084e1f0d006371a436184b98fc961202c	1,007	0.0036%
$368.26	
217	 0x6c87b4deb749547be0e6cbcad8b90307544a26cb	1,006.454428734682749153	0.0036%
$368.06	
218	0x729cc612505d3b40b91ebe2e3df22c5f3cb7de1b	1,004.786946135980679342	0.0036%
$367.45	
219	0xe9d500c3af2f147ae5244e06a1c0b3e00b6b2a1d	1,000.040570687979076739	0.0035%
$365.72	
220	0xc81a68104f4d342cdf46cebea3c8e68c4ba62839	1,000.02500025	0.0035%
$365.71	
221	0x9644e9c6a5ecb50ab5706a88e2aeded4b507598a	1,000	0.0035%
$365.70	
222	0x48d0297a8946525d098fc7167374f987010a3c82	1,000	0.0035%
$365.70	
223	0x2270b499b331d749b8f39c35d55306c97a2a5392	998.701760633180690248	0.0035%
$365.23	
224	0xd59bdf529efff0f4eae9674b868392ebe48357c0	997.285972253766501572	0.0035%
$364.71	
225	0x65e3d8d31df1d342556497d9f894443598216191	992	0.0035%
$362.78	
226	0xf19110d60b6d4f484a7fde14bf53db7f7b7dd516	989.938354979138141644	0.0035%
$362.02	
227	0x795a06973fbb14883613d54e37fbb145926e6958	960.959521365190905062	0.0034%
$351.42	
228	0xace5faa03d19ab6c8a54a11b92e2feff29d61c28	960	0.0034%
$351.07	
229	0xaced87e3edf76b7c6f148d0ff737fe9dd0efe00f	960	0.0034%
$351.07	
230	0xb54e923762a610a938203703aafd6a33c0188d42	954.340729293147027324	0.0034%
$349.00	
231	0x6749e8b927f2213adc7322b91100212f7ead5056	952.124352	0.0034%
$348.19	
232	0xa46711d40e85d02f6395f444666fbdc201ef0249	942.164774222259498298	0.0033%
$344.55	
233	0x1c9cfd460bc5dd308a1830a111dc5b56361a135e	938.521340909170436981	0.0033%
$343.22	
234	0x577cb688c7285c88a8770aa67042c94f5d867f2a	934.071689796	0.0033%
$341.59	
235	0x6f57aec9cec64a9e0e0318808a221fe473891a45	911.993162883488143067	0.0032%
$333.52	
236	0x4b2fdfc32dc9dcfaa8f1d0f761407648d8fe8db6	911.884048250097905017	0.0032%
$333.48	
237	0x30b4bb9e1c9e7c0f3c24b7252c71d3c6732a102f	900	0.0032%
$329.13	
238	0x872d5a80ea95a905276a7d0804a8330a0f0e8cff	894.836393064192094775	0.0032%
$327.24	
239	0x95e26e3200d65fca0521293f2c35e0e714bb1506	892.8	0.0032%
$326.50	
240	0x746e7c8ec01800d678611e402a4b7da7d1e8e1aa	890.302	0.0031%
$325.59	
241	 0xfa68587dd43cf2611897c08a2ed001e60f1a043b	889.829211310563873165	0.0031%
$325.41	
